Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.8717263495456975,0.7049180327868853,0.296551724137931,0.4174757281553398,0.779436847041375
Logistic Regression,0.8727952966328166,0.6911764705882353,0.32413793103448274,0.4413145539906103,0.7688019367925145
SVM,0.8743987172634955,0.7310924369747899,0.3,0.4254278728606357,0.7627320116033065
XGBoost,0.8637092463923036,0.6190476190476191,0.3137931034482759,0.41647597254004576,0.7537568976422605
Decision Tree,0.7819347942276857,0.32748538011695905,0.38620689655172413,0.35443037974683544,0.6203646753473357
Naive Bayes,0.1811865312667023,0.1546162402669633,0.9586206896551724,0.2662835249042146,0.49778184911339396
