Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Tuned SVM,0.848743987172635,0.5138339920948617,0.4482758620689655,0.47882136279926335,0.7721586076032194
Tuned XGBoost,0.8204168893639765,0.4350282485875706,0.5310344827586206,0.4782608695652174,0.7866147571375603
